"status_id","user_id","screen_name","text","source"
"1517263041666387968","110152668","IronMask701","@osashimilover @lotte26_uber @Quensax @Amuayumi @kinghiro001 @ginnosharin @84z4n0fCEOvkfEs @Kimitoshi777 @kitousi3 @nyaitter @69_kazu <U+3058><U+3083><U+3042><U+6B21><U+304B><U+3089><U+30B9><U+30EB><U+30FC><U+3067>","Twitter for iPhone"
"1517257975593074688","110152668","IronMask701","@lotte26_uber @Quensax @Amuayumi @kinghiro001 @ginnosharin @84z4n0fCEOvkfEs @Kimitoshi777 @osashimilover @kitousi3 @nyaitter @69_kazu <U+7686><U+69D8><U+304A><U+306F><U+3088><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059><U+3002>
<U+91D1><U+66DC><U+65E5><U+3001><U+30A2><U+30B2><U+3066><U+3044><U+304D><U+307E><U+3057><U+3087><U+3046>(<U+2579><U+25E1><U+2579>)
https://t.co/tm0dtznOfQ","Twitter for iPhone"
"1517259189621760001","110152668","IronMask701","@osashimilover @lotte26_uber @Quensax @Amuayumi @kinghiro001 @ginnosharin @84z4n0fCEOvkfEs @Kimitoshi777 @kitousi3 @nyaitter @69_kazu <U+307E><U+3041><U+3001><U+30D5><U+30E9><U+30A4><U+30C7><U+30FC><U+3060><U+3057><U+306D><U+3001><U+3063><U+3066><U+306A><U+3093><U+3067><U+3084><U+306D><U+3093><U+3002>","Twitter for iPhone"
"1517263035504619520","14316161","Lara_Miller","I can't really do Lyft or Uber anymore because I get way too carsick, but also I am feeling pretty sick right now","Twitter for Android"
"1517263016303210504","118736440","Mancman10","Uber Tory Fanboy  Fraser Nelson will be crying very soon about his hero Lying Crook Boris Johnson  #Newsnight https://t.co/Tu3ROfHAjJ","Twitter for Android"
"1517263011337146373","325642292","euindyferreira","Mto Maria uber","Twitter for iPhone"
"1517263005683228677","1178400169865482241","munslights","tive que gastar 14 reais no uber NAO AGUENTO MAIS SER POBRE","Twitter for iPhone"
"1517263005653868546","1460437609541423113","Tunasalad18","@zane622 @Uber @jimmyfallon Do they not make money? Do they rely on tips like bartenders do?","Twitter for iPhone"
"1517263003531771905","108510251","Amuayumi","@pusan_noyouni @ginnosharin @lotte26_uber @nyaitter @lotte26uderea1 @lotte_26fighter @24AKIMARU @heiseibeginner <U+307F><U+306A><U+3055><U+307E>
<U+304A><U+306F><U+3088><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059>(((o(*<U+FF9F><U+25BD><U+FF9F>*)o))) https://t.co/4QJCEd46Hn","Twitter for Android"
"1517262947994775553","1381345063301754881","im2sad_lis","q uber maluco acho q vou morrer","Twitter for iPhone"
"1517262936137695232","816919995816869888","ekihime","Uber<U+914D><U+9054><U+54E1><U+306E><U+671D><U+306F><U+65E9><U+3044> https://t.co/vXANrhkr3L","Twitter for iPhone"
"1517262928726036480","238285140","nightfiire","Mi conductor del Uber tiene muy bonitos ojos pero no diré nada al respecto porque voy a parecer loca <U+0001FAE3>","Twitter for Android"
"1517262923596500994","948936724037718017","___mysa","pensando seriamente em ir de uber amanhã pro trampo pois não estou afim de acordar 5am","Twitter for Android"
"1517262920077303808","918329736740392960","onIyvesseI","lluvia de mierda el uber más caro q lq concha de tu vieja","Twitter for Android"
"1517262897403072512","3788260037","mayola_74","Me está acosando el Uber, ayuda","Twitter for iPhone"
"1517262888389513216","1035594840858402816","_larissazicaa","peguei um uber otimo fofissimo deu ate brinde","Twitter for iPhone"
"1517262868051288064","589350500","msantoshair","Uber tá muito barato hoje, que isso","Twitter for iPhone"
"1517262867111759875","1015098137378254849","cciiii_rZTt","tem coisa mais humilhante q chorar no uber, nao tem","Twitter for Android"
"1517262859906039809","729608048696827905","sey_degenius","How did KNUST conclude that the over 6000 students who couldn’t pay their fees used the said monies for gambling and uber?","Twitter for Android"
"1517262852981207041","362676537","luiggipovoa","@bruhcollaco @_outofcontextrj @brigasdiarias Ninguém pega uber com inimigo kkk foi estresse pós balada das amigas kk","Twitter for iPhone"
"1517262840427655169","943902493557379073","dnzsrbss","Gökhan Öner'i izledikce Amerika'ya gidip uber yapmak istiyorum","Twitter for iPhone"
"1517262828763328514","1244681699298103298","jellyfish4zx","@doimas_passa as vezes nem é de graça, tenho que pagar o uber pra ir até lá","Twitter for Android"
"1517262819900764161","1384364903385878534","vortt666","JJAJAJAJAJ, estando peda ya no tenía espacio de almacenamiento, y q pendeja, borré Didi y Uber, pero bien que deje el pinche Sky Map jajajajaj, al menos siempre voy a saber la ubicación de la polaris","Twitter for Android"
"1517262801001193474","1316170655226888193","blondtribute","Ganho 400 reais da bolsa e só pó
Nem um centavo a mais

Imagina tu ter dividir 400 reais pra pagar passar de ônibus, Uber, alimentação, imprevistos, o mínimo de lazer (e quando dá, tá) e ainda tem q pagar uma formatura

Com míseros 400 reais","Twitter for Android"
"1517262799222755330","231847419","TonyPaperTiger","@Uber_Support I am a vegan. I placed an order with a restaurant (Coconut Cafe in Newton, Massachusetts) on Uber Eats, but was delivered the wrong items including those containing meat and seafood. I inadvertently ate some of what I believe was pork, which made me feel sick.","Twitter for Android"
"1517262797746278402","1378750622061694979","okkmoveon","@Uber_ARG uno de los miles de casos que pasan siempre. Para que permiten trabajar en su app a gente que no acepta los términos y condiciones de uso de la aplicación https://t.co/QYnJJucRkS","Twitter for iPhone"
"1517262796966277123","245873265","Matthew_Ryan4","@CincyShirts @uber_scooter","Twitter for iPhone"
"1517262790221783041","503483453","__Luisaa","Je me sens vraiment plus en sécurité bourrée sur mon velib qu’en Uber. 
C’est d’ailleurs pour ça que je prend pas de Uber seule si je suis pas sobre https://t.co/V9XJLZeA5X","Twitter for iPhone"
"1517262779933200385","25386676","shelltoe_frose","I hate when it says that my Uber driver is a great conversationalist.","Twitter for Android"
"1517262750019428361","1375862603965141001","Komorebi_Loutre","Vraiment rentrer toujours avec quelqu'un que vous connaissez car même des mecs qui sont taxi peuvent vous tendre des traquenards
On espère que le uber sera expulsé du territoire ou ira en prison ad vitam eternum https://t.co/SABYNsCCuO","Twitter for Android"
"1517262733812531200","914641791256858629","emmanuel3475","@icevainillaice Tip: tener el teléfono de la remiseria de barrio para los momentos que Uber tiene el precio de alta demanda.","Twitter for Android"
"1517262675042086914","53071664","wtfismathieu","primeiro uber que peguei quando cheguei em maceyork e a playlist dele é simplesmente perfeita e eu vou cantar do aeroporto até a pv SIM","Twitter for iPhone"
"1517262585883729921","1146831550245408768","sandraakaroline","o Uber mais legal q eu já andei até hj, o cara é de Osasco e tem medo de ir no bugio KKKKKKKKKKKKK","Twitter for Android"
"1517262561313312768","829001130172674049","KrissySully","@Uber @Uber_Support https://t.co/99v7q0xwA2 https://t.co/mVfovN6MCp","Twitter for Android"
"1517262534747000833","1106983151430234112","defaultperrie","@Uber https://t.co/v6yvaUCx1c","Twitter for iPhone"
"1517262508767199236","245649758","NYRageGirl","@Wombat_Matt The new @UBSArena in Belmont allows patrons to stay inside until their Uber drivers have arrived.    Night and day difference.","Twitter for Android"
"1517262506896642048","728957604400136192","KhajaMaharaja","john danaher lowkey teaching abortion miscarriage knee on belly techniques to uber drivers out in texas","Twitter for iPhone"
"1517262490668785665","1085692507973971969","Caldara_Fer","50 reais um Uber e não acha um carro","Twitter for iPhone"
"1517262444497969152","1429225561117937672","ledzepis4lovers","@GuyDealership Nah.  Companies like Uber subsidize growth at the expense of operating cash flow with cheap money that is a function of low interest rates and lack of suitable alternative investments.  That doesn’t change with Kalanick still running things.","Twitter for iPhone"
"1517262440068747266","3239737197","abobarina","gente sério o que eu não faço pela leticia eu sou uma amiga muito boa trabalho de uber sempre que ela precisa","Twitter for iPhone"
"1517262377045037057","1090914433340137473","46_kens1_forpr","<U+30DE><U+30A4><U+30EB><U+304C><U+8CAF><U+307E><U+308B>JapanTaxi<U+5F8C><U+7D99><U+30A2><U+30D7><U+30EA><U+3092><U+5229><U+7528><U+3057><U+307E><U+3057><U+3087><U+3046>!GO(#MOV ¥5000):mf-ynzmrc #JapanTaxi #<U+30BF><U+30AF><U+30B7><U+30FC> #<U+30AF><U+30FC><U+30DD><U+30F3> #<U+5272><U+5F15> #<U+7121><U+6599> #<U+9AD8><U+984D><U+30AF><U+30FC><U+30DD><U+30F3> Uber <U+30BF><U+30AF><U+30B7><U+30FC>(¥5000·<U+30A8><U+30EA><U+30A2><U+9650><U+5B9A>):JPGG5not9o #Uber","twittbot.net"
"1517247223888719872","1090914433340137473","46_kens1_forpr","JapanTaxi<U+3068>MOV(DeNA)<U+304C><U+3072><U+3068><U+3064><U+306B>!<U+65B0><U+3057><U+304F><U+306A><U+3063><U+305F>GO<U+3067><U+3089><U+304F><U+3089><U+304F><U+30AF><U+30FC><U+30DD><U+30F3><U+3067><U+304A><U+30C8><U+30AF><U+306B><U+914D><U+8ECA>!GO(¥5000):mf-ynzmrc #GO #JapanTaxi #<U+30BF><U+30AF><U+30B7><U+30FC> #<U+30AF><U+30FC><U+30DD><U+30F3> #<U+5272><U+5F15> #<U+7121><U+6599> #<U+9AD8><U+984D><U+30AF><U+30FC><U+30DD><U+30F3> Uber(¥5000):JPGG5not9o","twittbot.net"
"1517262367691886594","242109258","leoncsm","Hoy tomé un Uber
Le faltaba el espejo derecho

Me contó que fue por un ciclista que lo rompió porque se subió a la ciclovía de insurgentes a bajar a una persona

""Bueno, es que no te puedes subir a la ciclovía"" dije

Viaje tremendamente incómodo (para él)
Bien por lo del espejo.","Twitter for Android"
"1517262345671688195","733154808090263552","DonguilloA","@estebanavila La culpa no es de Uber, sino del weón que los usa, o no?","Twitter for Android"
